date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,15.242105263157896,10.647368421052633,288.89473684210526,17.910526315789475,4.484210526315789,44.05263157894737,0.19,0.0,0.781578947368421,,
2022-08-05,6.1375,4.295833333333333,170.75,10.245833333333334,2.0416666666666665,37.791666666666664,0.049999999999999996,0.0,0.38125000000000003,28.789473684210527,15.263157894736842
2022-08-06,7.133333333333333,4.9875,171.625,10.641666666666667,1.8958333333333333,38.208333333333336,0.07583333333333334,0.0,0.5791666666666667,18.75,15.25
2022-08-07,7.783333333333334,5.420833333333333,175.91666666666666,11.345833333333333,2.0124999999999997,37.458333333333336,0.12166666666666666,0.08333333333333333,0.3666666666666667,21.458333333333332,15.0
2022-08-08,5.720833333333334,3.9458333333333333,145.66666666666666,7.016666666666667,1.9124999999999999,43.5,0.14791666666666667,0.20833333333333334,1.8187499999999999,22.25,17.458333333333332
2022-08-09,6.8875,4.504166666666666,145.5,6.2250000000000005,2.0541666666666667,45.125,0.21333333333333335,0.8333333333333334,2.1062499999999997,21.166666666666668,18.125
2022-08-10,8.529166666666667,5.3999999999999995,148.66666666666666,6.195833333333333,2.0208333333333335,43.458333333333336,0.23083333333333333,2.0,2.1416666666666666,21.25,17.333333333333332
2022-08-11,7.808333333333334,5.1000000000000005,142.5,6.383333333333333,2.0833333333333335,39.833333333333336,0.17958333333333334,1.375,2.2333333333333334,23.125,16.25
2022-08-12,8.295833333333333,5.579166666666667,154.20833333333334,8.35,2.1333333333333333,34.625,0.14666666666666667,0.5833333333333334,2.279166666666667,20.791666666666668,14.416666666666666
2022-08-13,10.425,6.879166666666666,161.54166666666666,8.379166666666666,2.4250000000000003,36.583333333333336,0.19625,1.5,1.8687500000000001,26.958333333333332,15.75
